AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,AMPLITUDE,,,,,,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,PHASE,,,,,,,,,,,,,,,,,,,,
Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen,R,L,C,,Frequency(Hz),Gen(V),R,L,C,,Frequency(Hz),Gen(V),R,L,C,, σ_gen,σ_R,σ_L,σ_C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,Frequency(Hz),Gen(rad),R,L,C,,,,,,,,,,,,,,,,
17999.854,3.1,1.524,7.872,8.275,,,,,,,,,,,,,,39998.467,0.265,5.246,0.998,4.634,,,,,,,17999.854,0.021,0.277,1.95,5.423,,,,,,,,,,,,,,39998.467,0.265,5.246,0.998,4.634,,,,,,,,,,,,,,,,
17999.861,3.101,1.523,7.869,8.274,,,,,,,,,,,,,,39998.749,3.187,0.336,3.962,0.721,,,,,,,17999.861,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39998.749,3.187,0.336,3.962,0.721,,,,,,,,,,,,,,,,
17999.867,3.1,1.524,7.874,8.275,,,,,,,,,,,,,,39998.22,0.279,5.252,1.012,4.64,,,,,,,17999.867,0.021,0.276,1.949,5.422,,,,,,,,,,,,,,39998.22,0.279,5.252,1.012,4.64,,,,,,,,,,,,,,,,
17999.946,3.101,1.523,7.872,8.272,,,,,,,,,,,,,,39998.467,3.171,0.336,3.938,0.72,,,,,,,17999.946,0.023,0.281,1.954,5.428,,,,,,,,,,,,,,39998.467,3.171,0.336,3.938,0.72,,,,,,,,,,,,,,,,
17999.839,3.101,1.523,7.868,8.273,,,,,,,,,,,,,,39998.582,0.265,5.246,0.999,4.634,,,,,,,17999.839,0.024,0.281,1.954,5.427,,,,,,,,,,,,,,39998.582,0.265,5.246,0.999,4.634,,,,,,,,,,,,,,,,
17999.988,3.101,1.524,7.871,8.275,,,,,,,,,,,,,,39998.22,3.183,0.336,3.957,0.721,,,,,,,17999.988,0.021,0.277,1.95,5.424,,,,,,,,,,,,,,39998.22,3.183,0.336,3.957,0.721,,,,,,,,,,,,,,,,
18000.243,3.1,1.524,7.871,8.275,,,,,,,,,,,,,,39998.742,0.266,5.247,1.001,4.635,,,,,,,18000.243,0.02,0.277,1.951,5.424,,,,,,,,,,,,,,39998.742,0.266,5.247,1.001,4.635,,,,,,,,,,,,,,,,
18000.031,3.1,1.524,7.872,8.276,,,,,,,,,,,,,,39998.582,3.172,0.336,3.941,0.72,,,,,,,18000.031,0.021,0.276,1.95,5.423,,,,,,,,,,,,,,39998.582,3.172,0.336,3.941,0.72,,,,,,,,,,,,,,,,
17999.922,3.101,1.523,7.871,8.273,,,,,,,,,,,,,,39998.941,0.276,5.25,1.009,4.639,,,,,,,17999.922,0.024,0.28,1.954,5.428,,,,,,,,,,,,,,39998.941,0.276,5.25,1.009,4.639,,,,,,,,,,,,,,,,
17999.886,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39998.742,3.173,0.336,3.943,0.72,,,,,,,17999.886,0.024,0.28,1.954,5.428,,,,,,,,,,,,,,39998.742,3.173,0.336,3.943,0.72,,,,,,,,,,,,,,,,
18000.055,3.1,1.523,7.871,8.273,,,,,,,,,,,,,,39998.648,0.273,5.249,1.006,4.637,,,,,,,18000.055,0.022,0.28,1.954,5.427,,,,,,,,,,,,,,39998.648,0.273,5.249,1.006,4.637,,,,,,,,,,,,,,,,
17999.794,3.1,1.524,7.873,8.275,,,,,,,,,,,,,,39998.941,3.182,0.336,3.956,0.721,,,,,,,17999.794,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39998.941,3.182,0.336,3.956,0.721,,,,,,,,,,,,,,,,
17999.892,3.1,1.524,7.87,8.274,,,,,,,,,,,,,,39998.987,0.268,5.247,1.002,4.635,,,,,,,17999.892,0.023,0.281,1.955,5.428,,,,,,,,,,,,,,39998.987,0.268,5.247,1.002,4.635,,,,,,,,,,,,,,,,
17999.76,3.1,1.524,7.871,8.275,,,,,,,,,,,,,,39998.648,3.179,0.336,3.95,0.721,,,,,,,17999.76,0.023,0.279,1.952,5.425,,,,,,,,,,,,,,39998.648,3.179,0.336,3.95,0.721,,,,,,,,,,,,,,,,
17999.938,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39998.976,0.272,5.249,1.005,4.637,,,,,,,17999.938,0.023,0.28,1.954,5.427,,,,,,,,,,,,,,39998.976,0.272,5.249,1.005,4.637,,,,,,,,,,,,,,,,
17999.861,3.1,1.524,7.87,8.274,,,,,,,,,,,,,,39998.987,3.175,0.336,3.945,0.72,,,,,,,17999.861,0.023,0.278,1.952,5.425,,,,,,,,,,,,,,39998.987,3.175,0.336,3.945,0.72,,,,,,,,,,,,,,,,
17999.811,3.1,1.524,7.868,8.274,,,,,,,,,,,,,,39998.962,0.273,5.249,1.006,4.637,,,,,,,17999.811,0.023,0.28,1.953,5.428,,,,,,,,,,,,,,39998.962,0.273,5.249,1.006,4.637,,,,,,,,,,,,,,,,
17999.973,3.1,1.523,7.87,8.274,,,,,,,,,,,,,,39998.976,3.18,0.336,3.95,0.721,,,,,,,17999.973,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39998.976,3.18,0.336,3.95,0.721,,,,,,,,,,,,,,,,
17999.842,3.1,1.524,7.87,8.273,,,,,,,,,,,,,,39998.714,0.272,5.248,1.004,4.637,,,,,,,17999.842,0.023,0.28,1.954,5.427,,,,,,,,,,,,,,39998.714,0.272,5.248,1.004,4.637,,,,,,,,,,,,,,,,
17999.949,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39998.962,3.18,0.336,3.951,0.721,,,,,,,17999.949,0.023,0.28,1.954,5.428,,,,,,,,,,,,,,39998.962,3.18,0.336,3.951,0.721,,,,,,,,,,,,,,,,
17999.921,3.101,1.524,7.87,8.274,,,,,,,,,,,,,,39998.948,0.279,5.252,1.011,4.64,,,,,,,17999.921,0.022,0.279,1.952,5.426,,,,,,,,,,,,,,39998.948,0.279,5.252,1.011,4.64,,,,,,,,,,,,,,,,
17999.773,3.1,1.524,7.869,8.275,,,,,,,,,,,,,,39998.714,3.178,0.336,3.949,0.721,,,,,,,17999.773,0.023,0.279,1.952,5.425,,,,,,,,,,,,,,39998.714,3.178,0.336,3.949,0.721,,,,,,,,,,,,,,,,
17999.803,3.1,1.523,7.871,8.273,,,,,,,,,,,,,,39998.914,0.278,5.251,1.01,4.639,,,,,,,17999.803,0.024,0.28,1.954,5.427,,,,,,,,,,,,,,39998.914,0.278,5.251,1.01,4.639,,,,,,,,,,,,,,,,
18000.028,3.1,1.524,7.871,8.274,,,,,,,,,,,,,,39998.948,3.186,0.336,3.959,0.721,,,,,,,18000.028,0.021,0.278,1.951,5.425,,,,,,,,,,,,,,39998.948,3.186,0.336,3.959,0.721,,,,,,,,,,,,,,,,
17999.968,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39997.574,0.271,5.248,1.001,4.635,,,,,,,17999.968,0.022,0.279,1.952,5.426,,,,,,,,,,,,,,39997.574,0.271,5.248,1.001,4.635,,,,,,,,,,,,,,,,
17999.83,3.1,1.524,7.874,8.276,,,,,,,,,,,,,,39998.914,3.184,0.336,3.958,0.721,,,,,,,17999.83,0.021,0.277,1.95,5.423,,,,,,,,,,,,,,39998.914,3.184,0.336,3.958,0.721,,,,,,,,,,,,,,,,
17999.926,3.1,1.523,7.871,8.273,,,,,,,,,,,,,,39998.862,0.282,5.253,1.015,4.642,,,,,,,17999.926,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39998.862,0.282,5.253,1.015,4.642,,,,,,,,,,,,,,,,
17999.885,3.1,1.524,7.873,8.276,,,,,,,,,,,,,,39997.574,3.174,0.336,3.941,0.72,,,,,,,17999.885,0.022,0.277,1.951,5.424,,,,,,,,,,,,,,39997.574,3.174,0.336,3.941,0.72,,,,,,,,,,,,,,,,
17999.832,3.1,1.523,7.87,8.274,,,,,,,,,,,,,,39999.249,0.289,5.256,1.022,4.646,,,,,,,17999.832,0.023,0.278,1.952,5.425,,,,,,,,,,,,,,39999.249,0.289,5.256,1.022,4.646,,,,,,,,,,,,,,,,
18000.165,3.101,1.524,7.873,8.273,,,,,,,,,,,,,,39998.862,3.187,0.336,3.961,0.721,,,,,,,18000.165,0.023,0.281,1.955,5.428,,,,,,,,,,,,,,39998.862,3.187,0.336,3.961,0.721,,,,,,,,,,,,,,,,
17999.843,3.1,1.524,7.872,8.275,,,,,,,,,,,,,,39997.974,0.27,5.247,1.001,4.635,,,,,,,17999.843,0.022,0.278,1.95,5.424,,,,,,,,,,,,,,39997.974,0.27,5.247,1.001,4.635,,,,,,,,,,,,,,,,
17999.919,3.1,1.524,7.873,8.275,,,,,,,,,,,,,,39999.249,3.195,0.336,3.974,0.722,,,,,,,17999.919,0.021,0.278,1.951,5.425,,,,,,,,,,,,,,39999.249,3.195,0.336,3.974,0.722,,,,,,,,,,,,,,,,
18000.096,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39999.314,0.292,5.258,1.025,4.648,,,,,,,18000.096,0.022,0.279,1.952,5.426,,,,,,,,,,,,,,39999.314,0.292,5.258,1.025,4.648,,,,,,,,,,,,,,,,
17999.912,3.101,1.524,7.87,8.273,,,,,,,,,,,,,,39997.974,3.174,0.336,3.943,0.72,,,,,,,17999.912,0.024,0.282,1.955,5.429,,,,,,,,,,,,,,39997.974,3.174,0.336,3.943,0.72,,,,,,,,,,,,,,,,
17999.834,3.1,1.523,7.872,8.272,,,,,,,,,,,,,,39999.24,0.291,5.258,1.024,4.647,,,,,,,17999.834,0.024,0.281,1.954,5.428,,,,,,,,,,,,,,39999.24,0.291,5.258,1.024,4.647,,,,,,,,,,,,,,,,
17999.971,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39999.314,3.198,0.336,3.978,0.723,,,,,,,17999.971,0.023,0.28,1.954,5.427,,,,,,,,,,,,,,39999.314,3.198,0.336,3.978,0.723,,,,,,,,,,,,,,,,
17999.856,3.1,1.523,7.868,8.274,,,,,,,,,,,,,,39998.761,0.27,5.247,1.001,4.636,,,,,,,17999.856,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39998.761,0.27,5.247,1.001,4.636,,,,,,,,,,,,,,,,
17999.907,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39999.24,3.197,0.336,3.976,0.723,,,,,,,17999.907,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39999.24,3.197,0.336,3.976,0.723,,,,,,,,,,,,,,,,
18000.082,3.101,1.523,7.871,8.273,,,,,,,,,,,,,,39998.634,0.285,5.254,1.017,4.643,,,,,,,18000.082,0.022,0.28,1.954,5.427,,,,,,,,,,,,,,39998.634,0.285,5.254,1.017,4.643,,,,,,,,,,,,,,,,
17999.861,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39998.761,3.176,0.336,3.945,0.72,,,,,,,17999.861,0.023,0.279,1.952,5.425,,,,,,,,,,,,,,39998.761,3.176,0.336,3.945,0.72,,,,,,,,,,,,,,,,
17999.88,3.1,1.524,7.869,8.273,,,,,,,,,,,,,,39998.05,0.288,5.256,1.019,4.644,,,,,,,17999.88,0.024,0.28,1.954,5.428,,,,,,,,,,,,,,39998.05,0.288,5.256,1.019,4.644,,,,,,,,,,,,,,,,
17999.875,3.101,1.523,7.874,8.272,,,,,,,,,,,,,,39998.634,3.189,0.336,3.964,0.722,,,,,,,17999.875,0.024,0.281,1.954,5.429,,,,,,,,,,,,,,39998.634,3.189,0.336,3.964,0.722,,,,,,,,,,,,,,,,
17999.769,3.1,1.524,7.868,8.274,,,,,,,,,,,,,,39999.31,0.29,5.257,1.023,4.647,,,,,,,17999.769,0.024,0.279,1.953,5.426,,,,,,,,,,,,,,39999.31,0.29,5.257,1.023,4.647,,,,,,,,,,,,,,,,
17999.913,3.1,1.524,7.869,8.274,,,,,,,,,,,,,,39998.05,3.189,0.336,3.964,0.722,,,,,,,17999.913,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39998.05,3.189,0.336,3.964,0.722,,,,,,,,,,,,,,,,
17999.914,3.101,1.524,7.87,8.273,,,,,,,,,,,,,,39998.586,0.266,5.246,0.998,4.634,,,,,,,17999.914,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39998.586,0.266,5.246,0.998,4.634,,,,,,,,,,,,,,,,
17999.938,3.1,1.523,7.872,8.272,,,,,,,,,,,,,,39999.31,3.196,0.336,3.975,0.723,,,,,,,17999.938,0.023,0.28,1.954,5.427,,,,,,,,,,,,,,39999.31,3.196,0.336,3.975,0.723,,,,,,,,,,,,,,,,
17999.967,3.1,1.524,7.869,8.272,,,,,,,,,,,,,,39998.162,0.293,5.258,1.025,4.648,,,,,,,17999.967,0.023,0.281,1.954,5.428,,,,,,,,,,,,,,39998.162,0.293,5.258,1.025,4.648,,,,,,,,,,,,,,,,
17999.966,3.1,1.524,7.872,8.274,,,,,,,,,,,,,,39998.586,3.173,0.336,3.941,0.72,,,,,,,17999.966,0.021,0.277,1.95,5.423,,,,,,,,,,,,,,39998.586,3.173,0.336,3.941,0.72,,,,,,,,,,,,,,,,
17999.968,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39998.744,0.271,5.247,1.002,4.636,,,,,,,17999.968,0.022,0.278,1.951,5.425,,,,,,,,,,,,,,39998.744,0.271,5.247,1.002,4.636,,,,,,,,,,,,,,,,
18000.016,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39998.162,3.194,0.336,3.972,0.722,,,,,,,18000.016,0.022,0.278,1.952,5.425,,,,,,,,,,,,,,39998.162,3.194,0.336,3.972,0.722,,,,,,,,,,,,,,,,
17999.907,3.1,1.523,7.869,8.272,,,,,,,,,,,,,,39999.19,0.292,5.258,1.025,4.648,,,,,,,17999.907,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39999.19,0.292,5.258,1.025,4.648,,,,,,,,,,,,,,,,
17999.76,3.1,1.523,7.87,8.272,,,,,,,,,,,,,,39998.744,3.177,0.336,3.947,0.721,,,,,,,17999.76,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39998.744,3.177,0.336,3.947,0.721,,,,,,,,,,,,,,,,
18000.191,3.1,1.524,7.87,8.274,,,,,,,,,,,,,,39998.962,0.28,5.252,1.012,4.64,,,,,,,18000.191,0.021,0.278,1.951,5.425,,,,,,,,,,,,,,39998.962,0.28,5.252,1.012,4.64,,,,,,,,,,,,,,,,
17999.935,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39999.19,3.199,0.336,3.978,0.723,,,,,,,17999.935,0.022,0.278,1.951,5.424,,,,,,,,,,,,,,39999.19,3.199,0.336,3.978,0.723,,,,,,,,,,,,,,,,
17999.602,3.1,1.523,7.87,8.273,,,,,,,,,,,,,,39998.88,0.266,5.246,1.001,4.634,,,,,,,17999.602,0.024,0.28,1.953,5.426,,,,,,,,,,,,,,39998.88,0.266,5.246,1.001,4.634,,,,,,,,,,,,,,,,
17999.906,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39998.962,3.186,0.336,3.96,0.722,,,,,,,17999.906,0.023,0.28,1.953,5.427,,,,,,,,,,,,,,39998.962,3.186,0.336,3.96,0.722,,,,,,,,,,,,,,,,
18000.178,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39999.047,0.273,5.249,1.006,4.638,,,,,,,18000.178,0.022,0.279,1.953,5.427,,,,,,,,,,,,,,39999.047,0.273,5.249,1.006,4.638,,,,,,,,,,,,,,,,
17999.903,3.1,1.523,7.872,8.272,,,,,,,,,,,,,,39998.88,3.174,0.336,3.944,0.72,,,,,,,17999.903,0.024,0.281,1.954,5.428,,,,,,,,,,,,,,39998.88,3.174,0.336,3.944,0.72,,,,,,,,,,,,,,,,
17999.95,3.1,1.524,7.871,8.274,,,,,,,,,,,,,,39998.927,0.281,5.253,1.013,4.641,,,,,,,17999.95,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39998.927,0.281,5.253,1.013,4.641,,,,,,,,,,,,,,,,
17999.878,3.101,1.523,7.87,8.273,,,,,,,,,,,,,,39999.047,3.18,0.336,3.952,0.721,,,,,,,17999.878,0.024,0.28,1.954,5.427,,,,,,,,,,,,,,39999.047,3.18,0.336,3.952,0.721,,,,,,,,,,,,,,,,
17999.942,3.101,1.523,7.869,8.272,,,,,,,,,,,,,,39998.201,0.272,5.248,1.002,4.636,,,,,,,17999.942,0.023,0.28,1.954,5.427,,,,,,,,,,,,,,39998.201,0.272,5.248,1.002,4.636,,,,,,,,,,,,,,,,
17999.879,3.1,1.524,7.872,8.275,,,,,,,,,,,,,,39998.927,3.186,0.336,3.962,0.722,,,,,,,17999.879,0.021,0.278,1.951,5.424,,,,,,,,,,,,,,39998.927,3.186,0.336,3.962,0.722,,,,,,,,,,,,,,,,
17999.917,3.101,1.523,7.869,8.273,,,,,,,,,,,,,,39998.852,0.263,5.246,0.996,4.633,,,,,,,17999.917,0.022,0.28,1.953,5.426,,,,,,,,,,,,,,39998.852,0.263,5.246,0.996,4.633,,,,,,,,,,,,,,,,
18000.041,3.1,1.523,7.869,8.272,,,,,,,,,,,,,,39998.201,3.175,0.336,3.944,0.721,,,,,,,18000.041,0.022,0.279,1.953,5.427,,,,,,,,,,,,,,39998.201,3.175,0.336,3.944,0.721,,,,,,,,,,,,,,,,
17999.908,3.1,1.523,7.872,8.272,,,,,,,,,,,,,,39998.591,0.277,5.25,1.009,4.639,,,,,,,17999.908,0.024,0.28,1.954,5.427,,,,,,,,,,,,,,39998.591,0.277,5.25,1.009,4.639,,,,,,,,,,,,,,,,
18000.044,3.1,1.524,7.871,8.274,,,,,,,,,,,,,,39998.852,3.172,0.336,3.938,0.72,,,,,,,18000.044,0.021,0.277,1.95,5.423,,,,,,,,,,,,,,39998.852,3.172,0.336,3.938,0.72,,,,,,,,,,,,,,,,
17999.874,3.1,1.523,7.869,8.272,,,,,,,,,,,,,,39998.986,0.281,5.252,1.013,4.641,,,,,,,17999.874,0.024,0.28,1.954,5.427,,,,,,,,,,,,,,39998.986,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,
17999.97,3.1,1.524,7.872,8.274,,,,,,,,,,,,,,39998.591,3.181,0.336,3.953,0.721,,,,,,,17999.97,0.021,0.277,1.95,5.423,,,,,,,,,,,,,,39998.591,3.181,0.336,3.953,0.721,,,,,,,,,,,,,,,,
17999.951,3.1,1.523,7.871,8.274,,,,,,,,,,,,,,39999.018,0.284,5.253,1.017,4.643,,,,,,,17999.951,0.022,0.277,1.95,5.424,,,,,,,,,,,,,,39999.018,0.284,5.253,1.017,4.643,,,,,,,,,,,,,,,,
17999.927,3.1,1.524,7.869,8.273,,,,,,,,,,,,,,39998.986,3.187,0.336,3.961,0.722,,,,,,,17999.927,0.023,0.279,1.953,5.426,,,,,,,,,,,,,,39998.986,3.187,0.336,3.961,0.722,,,,,,,,,,,,,,,,
17999.926,3.1,1.524,7.868,8.273,,,,,,,,,,,,,,39998.479,0.267,5.245,0.998,4.634,,,,,,,17999.926,0.023,0.279,1.952,5.426,,,,,,,,,,,,,,39998.479,0.267,5.245,0.998,4.634,,,,,,,,,,,,,,,,
17999.746,3.1,1.523,7.87,8.272,,,,,,,,,,,,,,39999.018,3.19,0.336,3.967,0.722,,,,,,,17999.746,0.024,0.279,1.953,5.426,,,,,,,,,,,,,,39999.018,3.19,0.336,3.967,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.058,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39999.058,0.281,5.252,1.013,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.479,3.173,0.336,3.941,0.72,,,,,,,,,,,,,,,,,,,,,,,,,39998.479,3.173,0.336,3.941,0.72,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.209,0.292,5.258,1.024,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.209,0.292,5.258,1.024,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.058,3.187,0.336,3.961,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.058,3.187,0.336,3.961,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.374,0.276,5.25,1.008,4.638,,,,,,,,,,,,,,,,,,,,,,,,,39998.374,0.276,5.25,1.008,4.638,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.209,3.198,0.336,3.977,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.209,3.198,0.336,3.977,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.139,0.286,5.255,1.019,4.644,,,,,,,,,,,,,,,,,,,,,,,,,39999.139,0.286,5.255,1.019,4.644,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.374,3.181,0.336,3.951,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.374,3.181,0.336,3.951,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.252,0.288,5.256,1.022,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.252,0.288,5.256,1.022,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.139,3.192,0.336,3.97,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.139,3.192,0.336,3.97,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.121,0.291,5.258,1.023,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.121,0.291,5.258,1.023,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.252,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.252,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.403,0.292,5.258,1.025,4.648,,,,,,,,,,,,,,,,,,,,,,,,,39998.403,0.292,5.258,1.025,4.648,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.121,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.121,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.578,0.272,5.248,1.003,4.636,,,,,,,,,,,,,,,,,,,,,,,,,39998.578,0.272,5.248,1.003,4.636,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.403,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.403,3.194,0.336,3.973,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.798,0.281,5.252,1.014,4.641,,,,,,,,,,,,,,,,,,,,,,,,,39998.798,0.281,5.252,1.014,4.641,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.578,3.178,0.336,3.948,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.578,3.178,0.336,3.948,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.197,0.29,5.256,1.022,4.646,,,,,,,,,,,,,,,,,,,,,,,,,39999.197,0.29,5.256,1.022,4.646,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.798,3.186,0.336,3.961,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.798,3.186,0.336,3.961,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.572,0.262,5.245,0.995,4.632,,,,,,,,,,,,,,,,,,,,,,,,,39998.572,0.262,5.245,0.995,4.632,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.197,3.196,0.336,3.975,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.197,3.196,0.336,3.975,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.926,0.276,5.25,1.009,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.926,0.276,5.25,1.009,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.572,3.17,0.336,3.937,0.72,,,,,,,,,,,,,,,,,,,,,,,,,39998.572,3.17,0.336,3.937,0.72,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.75,0.278,5.251,1.011,4.64,,,,,,,,,,,,,,,,,,,,,,,,,39998.75,0.278,5.251,1.011,4.64,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.926,3.183,0.336,3.956,0.721,,,,,,,,,,,,,,,,,,,,,,,,,39998.926,3.183,0.336,3.956,0.721,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.663,0.282,5.253,1.015,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39998.663,0.282,5.253,1.015,4.642,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.75,3.185,0.336,3.959,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.75,3.185,0.336,3.959,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.291,0.283,5.253,1.017,4.643,,,,,,,,,,,,,,,,,,,,,,,,,39999.291,0.283,5.253,1.017,4.643,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.663,3.188,0.336,3.963,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.663,3.188,0.336,3.963,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.91,0.286,5.255,1.018,4.644,,,,,,,,,,,,,,,,,,,,,,,,,39998.91,0.286,5.255,1.018,4.644,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.291,3.191,0.336,3.968,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.291,3.191,0.336,3.968,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.076,0.277,5.251,1.009,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39999.076,0.277,5.251,1.009,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.91,3.192,0.336,3.97,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39998.91,3.192,0.336,3.97,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.973,0.277,5.25,1.01,4.639,,,,,,,,,,,,,,,,,,,,,,,,,39998.973,0.277,5.25,1.01,4.639,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.076,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39999.076,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.264,0.291,5.257,1.023,4.647,,,,,,,,,,,,,,,,,,,,,,,,,39999.264,0.291,5.257,1.023,4.647,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.973,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,,,,,,,,,,39998.973,3.184,0.336,3.958,0.722,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.477,0.268,5.247,1.001,4.635,,,,,,,,,,,,,,,,,,,,,,,,,39998.477,0.268,5.247,1.001,4.635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39999.264,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,,,,,,,,,,39999.264,3.197,0.336,3.977,0.723,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,39998.82,0.284,5.253,1.016,4.642,,,,,,,,,,,,,,,,,,,,,,,,,39998.82,0.284,5.253,1.016,4.642,,,,,,,,,,,,,,,,
